loss,calculate_reconstruction_loss,calculate_kl_loss
749.3944649875261,0.7320314645767212,0.5689046382904053
694.9838882620533,0.6789680123329163,0.5693614482879639
658.2861866787636,0.645868718624115,0.5717347860336304
637.6737949190871,0.6283696293830872,0.5721337199211121
623.9432892542678,0.6172147393226624,0.5730623602867126
614.9909122087438,0.610245943069458,0.5721909999847412
608.3359821811197,0.6046283841133118,0.5730862021446228
603.3366649434772,0.6003748774528503,0.5725359320640564
599.0231828798478,0.5964528918266296,0.573181688785553
593.6859388491458,0.5912909507751465,0.5735861659049988
589.33836150675,0.5870922207832336,0.5733709931373596
585.6712269121826,0.5834811925888062,0.5735007524490356
583.0808619488316,0.5809498429298401,0.5736824870109558
580.7936900949401,0.5786809325218201,0.5736636519432068
578.8188219926096,0.5767242908477783,0.5736240148544312
576.855948294162,0.5747727751731873,0.5737818479537964
575.6338385477735,0.5735454559326172,0.5733991861343384
574.124249979489,0.57204669713974,0.5736194849014282
572.8029331873136,0.5707440972328186,0.573624312877655
571.4713692346171,0.5693941116333008,0.57370924949646
570.5129044300969,0.5684505701065063,0.5735751986503601
570.0690585909621,0.5679965615272522,0.5737494826316833
569.2164431100568,0.5671425461769104,0.5733867883682251
568.0982093997725,0.5660138726234436,0.5735689997673035
567.2928079228611,0.5651957988739014,0.5737760663032532
566.5823470795524,0.5644937753677368,0.5736696720123291
566.2627843013595,0.5641706585884094,0.5735699534416199
565.4876867795263,0.5633969306945801,0.5735559463500977
564.9743581899422,0.5628806948661804,0.5736903548240662
564.6477842346491,0.5625460743904114,0.5736563801765442
564.3048010572523,0.5621964335441589,0.5735305547714233
564.2102759456168,0.5621148943901062,0.5735328793525696
563.337494792596,0.5612215399742126,0.5736545920372009
563.085658186995,0.5609651207923889,0.5736544728279114
562.643158830204,0.5605318546295166,0.5736935138702393
562.3935936932463,0.5602632761001587,0.5737155675888062
562.2661103937793,0.5601361989974976,0.5736810564994812
562.0076640690714,0.5598804354667664,0.573590099811554
561.6358666474434,0.5595062971115112,0.5734494924545288
561.1546302782964,0.5590158700942993,0.5736808180809021
561.1594606433763,0.5590241551399231,0.5736402273178101
560.7584245193258,0.5586162209510803,0.5737408995628357
560.2469137916752,0.5581104159355164,0.5736214518547058
560.1896469091319,0.5580388903617859,0.5737335681915283
560.1817824844435,0.5580317378044128,0.573358416557312
559.6193519579839,0.5574705600738525,0.5737251043319702
559.7191093158566,0.5575692057609558,0.5735244154930115
559.2417933851432,0.5570822358131409,0.5735999941825867
559.026083393937,0.5568634867668152,0.5736774206161499
558.7585894536428,0.5565977692604065,0.5735400319099426
